team_a,team_b,goals_a,goals_b,outcome,rating_a,rating_b,prob_a_win,prob_draw,prob_b_win,neutral,stage,year
Qatar,Netherlands,1,1,draw,1590,1750,0.205,0.28,0.515,False,quarter,2020
Japan,Wales,1,0,home_win,1640,1610,0.391,0.28,0.329,True,semi,2013
Japan,Switzerland,1,2,away_win,1740,1660,0.4415,0.28,0.2785,False,group,2024
Wales,Mexico,0,0,draw,1610,1630,0.3393,0.28,0.3807,True,group,2018
Belgium,Senegal,1,0,home_win,1720,1610,0.4703,0.28,0.2497,True,friendly,2023
Mexico,Wales,1,2,away_win,1630,1610,0.3807,0.28,0.3393,True,friendly,2016
Uruguay,Senegal,0,0,draw,1680,1610,0.4316,0.28,0.2884,True,final,2013
Wales,Portugal,1,3,away_win,1710,1760,0.3085,0.28,0.4115,False,friendly,2014
Costa Rica,Serbia,1,3,away_win,1510,1595,0.2736,0.28,0.4464,True,friendly,2015
Qatar,Morocco,2,3,away_win,1490,1650,0.205,0.28,0.515,True,quarter,2019
Uruguay,Croatia,0,1,away_win,1680,1700,0.3393,0.28,0.3807,True,friendly,2014
Iran,Italy,4,4,draw,1630,1710,0.2785,0.28,0.4415,False,friendly,2021
Spain,France,2,2,draw,1800,1840,0.3187,0.28,0.4013,True,group,2016
Qatar,Cameroon,0,1,away_win,1490,1560,0.2884,0.28,0.4316,True,friendly,2021
Morocco,Qatar,5,1,home_win,1750,1490,0.5883,0.28,0.1317,False,friendly,2015
Mexico,Iran,2,1,home_win,1730,1530,0.547,0.28,0.173,False,friendly,2018
Portugal,Belgium,0,1,away_win,1860,1720,0.4977,0.28,0.2223,False,friendly,2013
Ecuador,Saudi Arabia,1,0,home_win,1570,1520,0.4115,0.28,0.3085,True,group,2014
Serbia,Morocco,1,2,away_win,1595,1650,0.3035,0.28,0.4165,True,friendly,2013
France,Wales,2,1,home_win,1840,1610,0.5687,0.28,0.1513,True,quarter,2011
Qatar,Croatia,0,2,away_win,1490,1700,0.1655,0.28,0.5545,True,friendly,2023
Saudi Arabia,Morocco,1,2,away_win,1620,1650,0.329,0.28,0.391,False,quarter,2022
Switzerland,Croatia,0,3,away_win,1660,1700,0.3187,0.28,0.4013,True,friendly,2013
USA,Croatia,4,1,home_win,1720,1700,0.3807,0.28,0.3393,False,quarter,2020
Germany,Canada,2,3,away_win,1780,1560,0.5617,0.28,0.1583,True,friendly,2014
Uruguay,Mexico,4,3,home_win,1680,1630,0.4115,0.28,0.3085,True,group,2017
Wales,Switzerland,1,1,draw,1610,1660,0.3085,0.28,0.4115,True,friendly,2020
France,South Korea,2,1,home_win,1840,1590,0.582,0.28,0.138,True,group,2018
France,Ghana,0,1,away_win,1840,1550,0.6059,0.28,0.1141,True,group,2018
Belgium,Senegal,1,4,away_win,1720,1610,0.4703,0.28,0.2497,True,friendly,2021
Poland,Japan,1,1,draw,1600,1640,0.3187,0.28,0.4013,True,friendly,2019
Australia,Japan,2,1,home_win,1580,1640,0.2984,0.28,0.4216,True,round_of_16,2019
Portugal,Mexico,0,0,draw,1760,1630,0.4887,0.28,0.2313,True,group,2023
Costa Rica,Tunisia,2,1,home_win,1510,1540,0.329,0.28,0.391,True,friendly,2013
Australia,Saudi Arabia,1,2,away_win,1580,1520,0.4216,0.28,0.2984,True,friendly,2015
South Korea,Ghana,1,0,home_win,1590,1550,0.4013,0.28,0.3187,True,friendly,2016
Belgium,Spain,2,3,away_win,1820,1800,0.3807,0.28,0.3393,False,round_of_16,2016
Belgium,Germany,1,3,away_win,1820,1780,0.4013,0.28,0.3187,False,group,2020
Serbia,England,0,0,draw,1595,1790,0.1768,0.28,0.5432,True,friendly,2013
Netherlands,Brazil,0,1,away_win,1850,1820,0.391,0.28,0.329,False,group,2020
Wales,Netherlands,4,1,home_win,1610,1750,0.2223,0.28,0.4977,True,quarter,2015
Belgium,South Korea,0,0,draw,1720,1590,0.4887,0.28,0.2313,True,friendly,2022
Morocco,Serbia,0,0,draw,1650,1595,0.4165,0.28,0.3035,True,friendly,2011
Uruguay,Belgium,1,1,draw,1780,1720,0.4216,0.28,0.2984,False,semi,2014
Poland,Uruguay,2,2,draw,1700,1680,0.3807,0.28,0.3393,False,friendly,2018
Saudi Arabia,Switzerland,3,3,draw,1520,1660,0.2223,0.28,0.4977,True,final,2021
Brazil,Uruguay,3,4,away_win,1820,1680,0.4977,0.28,0.2223,True,group,2018
Senegal,Serbia,1,2,away_win,1610,1595,0.3755,0.28,0.3445,True,group,2013
Canada,Spain,3,2,home_win,1560,1800,0.1445,0.28,0.5755,True,round_of_16,2016
Poland,Argentina,3,3,draw,1700,1850,0.2136,0.28,0.5064,False,group,2025
France,Costa Rica,4,4,draw,1940,1510,0.6641,0.28,0.0559,False,group,2024
Tunisia,Canada,1,1,draw,1640,1560,0.4415,0.28,0.2785,False,round_of_16,2015
Uruguay,Australia,1,1,draw,1680,1580,0.4608,0.28,0.2592,True,quarter,2011
Saudi Arabia,England,1,3,away_win,1520,1790,0.1256,0.28,0.5944,True,group,2010
Canada,Qatar,1,1,draw,1560,1490,0.4316,0.28,0.2884,True,final,2010
USA,Iran,1,0,home_win,1620,1530,0.4512,0.28,0.2688,True,friendly,2020
Tunisia,Iran,3,0,home_win,1540,1530,0.3704,0.28,0.3496,True,friendly,2017
Canada,Iran,0,0,draw,1560,1530,0.391,0.28,0.329,True,group,2022
Portugal,Japan,2,2,draw,1760,1640,0.4796,0.28,0.2404,True,group,2019
England,Costa Rica,2,1,home_win,1790,1510,0.6002,0.28,0.1198,True,friendly,2023
Spain,Portugal,2,3,away_win,1800,1760,0.4013,0.28,0.3187,True,friendly,2012
Morocco,Poland,2,0,home_win,1650,1600,0.4115,0.28,0.3085,True,group,2013
Denmark,Italy,4,3,home_win,1770,1710,0.4216,0.28,0.2984,False,friendly,2025
Italy,South Korea,0,0,draw,1810,1590,0.5617,0.28,0.1583,False,friendly,2025
Morocco,Uruguay,2,3,away_win,1650,1680,0.329,0.28,0.391,True,friendly,2022
Portugal,Brazil,1,2,away_win,1760,1820,0.2984,0.28,0.4216,True,quarter,2023
Netherlands,Wales,1,1,draw,1750,1610,0.4977,0.28,0.2223,True,quarter,2019
Italy,Australia,2,2,draw,1710,1580,0.4887,0.28,0.2313,True,group,2021
Ghana,Argentina,3,4,away_win,1550,1850,0.1087,0.28,0.6113,True,friendly,2025
Poland,Iran,1,0,home_win,1600,1530,0.4316,0.28,0.2884,True,friendly,2016
Switzerland,Argentina,1,1,draw,1760,1850,0.2688,0.28,0.4512,False,semi,2024
Costa Rica,Tunisia,1,1,draw,1610,1540,0.4316,0.28,0.2884,False,semi,2025
Costa Rica,Iran,2,1,home_win,1510,1530,0.3393,0.28,0.3807,True,group,2020
Belgium,USA,3,3,draw,1720,1620,0.4608,0.28,0.2592,True,friendly,2010
Canada,Portugal,1,2,away_win,1660,1760,0.2592,0.28,0.4608,False,friendly,2025
South Korea,England,3,5,away_win,1590,1790,0.173,0.28,0.547,True,friendly,2025
Italy,Canada,1,0,home_win,1810,1560,0.582,0.28,0.138,False,friendly,2010
Ecuador,Denmark,2,3,away_win,1570,1670,0.2592,0.28,0.4608,True,group,2024
Wales,France,3,2,home_win,1610,1840,0.1513,0.28,0.5687,True,group,2016
France,Morocco,2,2,draw,1840,1650,0.5393,0.28,0.1807,True,final,2015
Ecuador,Portugal,1,0,home_win,1570,1760,0.1807,0.28,0.5393,True,round_of_16,2016
Costa Rica,Canada,1,0,home_win,1510,1560,0.3085,0.28,0.4115,True,friendly,2025
England,Australia,3,2,home_win,1790,1580,0.5545,0.28,0.1655,True,final,2014
Netherlands,Mexico,1,0,home_win,1850,1630,0.5617,0.28,0.1583,False,semi,2015
France,Netherlands,1,0,home_win,1940,1750,0.5393,0.28,0.1807,False,friendly,2017
Switzerland,Iran,2,1,home_win,1660,1530,0.4887,0.28,0.2313,True,friendly,2025
Senegal,Denmark,3,2,home_win,1610,1670,0.2984,0.28,0.4216,True,semi,2022
Switzerland,Costa Rica,0,3,away_win,1760,1510,0.582,0.28,0.138,False,friendly,2022
Switzerland,Morocco,2,0,home_win,1760,1650,0.4703,0.28,0.2497,False,friendly,2010
Costa Rica,Saudi Arabia,1,1,draw,1510,1520,0.3496,0.28,0.3704,True,quarter,2011
England,Ghana,5,1,home_win,1890,1550,0.6309,0.28,0.0891,False,friendly,2013
Ghana,Argentina,3,4,away_win,1550,1850,0.1087,0.28,0.6113,True,group,2014
Cameroon,France,5,4,home_win,1660,1840,0.1886,0.28,0.5314,False,quarter,2024
Denmark,Poland,1,1,draw,1770,1600,0.5233,0.28,0.1967,False,group,2024
France,Mexico,4,3,home_win,1840,1630,0.5545,0.28,0.1655,True,friendly,2021
Italy,Brazil,4,4,draw,1710,1820,0.2497,0.28,0.4703,True,group,2017
USA,Mexico,1,2,away_win,1720,1630,0.4512,0.28,0.2688,False,round_of_16,2020
Mexico,Iran,1,1,draw,1630,1530,0.4608,0.28,0.2592,True,friendly,2012
Saudi Arabia,Spain,0,1,away_win,1520,1800,0.1198,0.28,0.6002,True,semi,2022
Qatar,Ecuador,0,4,away_win,1590,1570,0.3807,0.28,0.3393,False,group,2015
Cameroon,Tunisia,1,3,away_win,1660,1540,0.4796,0.28,0.2404,False,friendly,2019
Saudi Arabia,Senegal,2,1,home_win,1520,1610,0.2688,0.28,0.4512,True,friendly,2014
Ecuador,England,3,4,away_win,1570,1790,0.1583,0.28,0.5617,True,friendly,2011
Japan,Germany,3,2,home_win,1740,1780,0.3187,0.28,0.4013,False,quarter,2024
Canada,Japan,0,0,draw,1660,1640,0.3807,0.28,0.3393,False,round_of_16,2013
Germany,Ecuador,4,4,draw,1780,1570,0.5545,0.28,0.1655,True,friendly,2016
Saudi Arabia,Belgium,0,0,draw,1520,1720,0.173,0.28,0.547,True,group,2014
Spain,Japan,5,5,draw,1900,1640,0.5883,0.28,0.1317,False,friendly,2019
Iran,Argentina,2,1,home_win,1530,1850,0.0985,0.28,0.6215,True,round_of_16,2018
Cameroon,Spain,0,1,away_win,1560,1800,0.1445,0.28,0.5755,True,group,2022
Japan,USA,1,0,home_win,1740,1620,0.4796,0.28,0.2404,False,friendly,2015
Morocco,Mexico,0,0,draw,1650,1630,0.3807,0.28,0.3393,True,quarter,2022
France,Australia,1,1,draw,1940,1580,0.6395,0.28,0.0805,False,group,2019
Japan,Netherlands,1,1,draw,1640,1750,0.2497,0.28,0.4703,True,friendly,2024
Senegal,Iran,4,0,home_win,1610,1530,0.4415,0.28,0.2785,True,group,2019
Spain,USA,1,0,home_win,1800,1620,0.5314,0.28,0.1886,True,final,2015
Germany,Canada,2,1,home_win,1780,1560,0.5617,0.28,0.1583,True,semi,2014
Ghana,Croatia,1,2,away_win,1550,1700,0.2136,0.28,0.5064,True,semi,2019
Poland,Uruguay,4,4,draw,1600,1680,0.2785,0.28,0.4415,True,friendly,2016
Uruguay,Poland,2,1,home_win,1780,1600,0.5314,0.28,0.1886,False,group,2011
Netherlands,Mexico,2,1,home_win,1750,1630,0.4796,0.28,0.2404,True,friendly,2023
Poland,Serbia,2,3,away_win,1600,1595,0.3652,0.28,0.3548,True,group,2019
Denmark,Serbia,4,0,home_win,1670,1595,0.4365,0.28,0.2835,True,friendly,2025
Argentina,Spain,2,1,home_win,1850,1800,0.4115,0.28,0.3085,True,quarter,2017
Senegal,Saudi Arabia,3,2,home_win,1710,1520,0.5393,0.28,0.1807,False,group,2016
Belgium,Canada,2,2,draw,1820,1560,0.5883,0.28,0.1317,False,group,2025
USA,Uruguay,3,4,away_win,1620,1680,0.2984,0.28,0.4216,True,friendly,2015
USA,Netherlands,0,3,away_win,1620,1750,0.2313,0.28,0.4887,True,friendly,2024
England,Uruguay,3,2,home_win,1790,1680,0.4703,0.28,0.2497,True,quarter,2016
England,Japan,0,0,draw,1790,1640,0.5064,0.28,0.2136,True,friendly,2012
Croatia,Canada,2,2,draw,1800,1560,0.5755,0.28,0.1445,False,friendly,2012
Switzerland,Netherlands,2,0,home_win,1760,1750,0.3704,0.28,0.3496,False,quarter,2017
Netherlands,Senegal,4,4,draw,1750,1610,0.4977,0.28,0.2223,True,friendly,2024
Iran,USA,2,0,home_win,1630,1620,0.3704,0.28,0.3496,False,friendly,2018
Wales,Senegal,0,1,away_win,1710,1610,0.4608,0.28,0.2592,False,friendly,2012
Switzerland,Costa Rica,3,4,away_win,1660,1510,0.5064,0.28,0.2136,True,group,2024
South Korea,Argentina,3,4,away_win,1590,1850,0.1317,0.28,0.5883,True,friendly,2023
Mexico,England,0,1,away_win,1730,1790,0.2984,0.28,0.4216,False,group,2015
Saudi Arabia,Ecuador,1,2,away_win,1520,1570,0.3085,0.28,0.4115,True,friendly,2012
Croatia,Serbia,4,3,home_win,1800,1595,0.5508,0.28,0.1692,False,round_of_16,2019
Iran,Morocco,2,2,draw,1630,1650,0.3393,0.28,0.3807,False,friendly,2014
Senegal,Mexico,0,0,draw,1610,1630,0.3393,0.28,0.3807,True,round_of_16,2012
Germany,Cameroon,3,0,home_win,1880,1560,0.6215,0.28,0.0985,False,friendly,2013
Germany,Belgium,2,2,draw,1780,1720,0.4216,0.28,0.2984,True,group,2012
Denmark,USA,0,0,draw,1670,1620,0.4115,0.28,0.3085,True,friendly,2013
Australia,Switzerland,4,0,home_win,1680,1660,0.3807,0.28,0.3393,False,friendly,2015
Croatia,Denmark,1,0,home_win,1700,1670,0.391,0.28,0.329,True,group,2020
Wales,Iran,1,0,home_win,1610,1530,0.4415,0.28,0.2785,True,group,2015
Belgium,Tunisia,2,1,home_win,1720,1540,0.5314,0.28,0.1886,True,group,2014
USA,Belgium,2,1,home_win,1620,1720,0.2592,0.28,0.4608,True,final,2024
Denmark,Argentina,4,1,home_win,1770,1850,0.2785,0.28,0.4415,False,quarter,2025
Switzerland,Portugal,2,3,away_win,1660,1760,0.2592,0.28,0.4608,True,final,2017
Tunisia,Ghana,1,1,draw,1540,1550,0.3496,0.28,0.3704,True,group,2015
Morocco,France,1,2,away_win,1650,1840,0.1807,0.28,0.5393,True,group,2022
Denmark,Mexico,0,2,away_win,1670,1630,0.4013,0.28,0.3187,True,final,2022
Iran,Brazil,1,2,away_win,1530,1820,0.1141,0.28,0.6059,True,friendly,2012
Switzerland,Argentina,0,2,away_win,1660,1850,0.1807,0.28,0.5393,True,group,2019
Belgium,Japan,1,1,draw,1720,1640,0.4415,0.28,0.2785,True,friendly,2013
Poland,Mexico,1,1,draw,1700,1630,0.4316,0.28,0.2884,False,friendly,2015
Iran,Germany,3,4,away_win,1530,1780,0.138,0.28,0.582,True,quarter,2017
Japan,Qatar,0,2,away_win,1640,1490,0.5064,0.28,0.2136,True,friendly,2011
Uruguay,Morocco,2,1,home_win,1780,1650,0.4887,0.28,0.2313,False,quarter,2014
Uruguay,Brazil,2,3,away_win,1780,1820,0.3187,0.28,0.4013,False,friendly,2024
Mexico,Wales,2,2,draw,1730,1610,0.4796,0.28,0.2404,False,quarter,2023
Qatar,Spain,1,1,draw,1490,1800,0.1035,0.28,0.6165,True,friendly,2011
Japan,England,1,1,draw,1740,1790,0.3085,0.28,0.4115,False,quarter,2010
Serbia,Wales,1,1,draw,1695,1610,0.4464,0.28,0.2736,False,friendly,2013
Italy,England,5,4,home_win,1710,1790,0.2785,0.28,0.4415,True,group,2011
South Korea,England,2,1,home_win,1590,1790,0.173,0.28,0.547,True,quarter,2015
Wales,Qatar,5,0,home_win,1610,1490,0.4796,0.28,0.2404,True,group,2022
Saudi Arabia,Australia,1,2,away_win,1520,1580,0.2984,0.28,0.4216,True,semi,2024
Spain,Poland,3,2,home_win,1800,1600,0.547,0.28,0.173,True,friendly,2019
Uruguay,Switzerland,2,2,draw,1680,1660,0.3807,0.28,0.3393,True,friendly,2022
France,Argentina,2,1,home_win,1840,1850,0.3496,0.28,0.3704,True,group,2013
Germany,Spain,2,3,away_win,1780,1800,0.3393,0.28,0.3807,True,round_of_16,2020
Cameroon,England,1,3,away_win,1660,1790,0.2313,0.28,0.4887,False,friendly,2010
USA,Denmark,3,2,home_win,1720,1670,0.4115,0.28,0.3085,False,round_of_16,2013
Japan,Germany,6,5,home_win,1640,1780,0.2223,0.28,0.4977,True,group,2012
Italy,Germany,0,0,draw,1710,1780,0.2884,0.28,0.4316,True,group,2022
USA,England,3,4,away_win,1620,1790,0.1967,0.28,0.5233,True,friendly,2012
Costa Rica,Mexico,1,2,away_win,1610,1630,0.3393,0.28,0.3807,False,semi,2024
Morocco,Ghana,3,4,away_win,1650,1550,0.4608,0.28,0.2592,True,friendly,2020
Denmark,South Korea,0,1,away_win,1670,1590,0.4415,0.28,0.2785,True,friendly,2016
Denmark,Iran,2,0,home_win,1770,1530,0.5755,0.28,0.1445,False,quarter,2015
Switzerland,Uruguay,3,2,home_win,1660,1680,0.3393,0.28,0.3807,True,group,2020
Serbia,England,3,4,away_win,1595,1790,0.1768,0.28,0.5432,True,friendly,2021
Ecuador,Portugal,4,3,home_win,1570,1760,0.1807,0.28,0.5393,True,friendly,2010
Tunisia,Ecuador,0,2,away_win,1540,1570,0.329,0.28,0.391,True,group,2018
Portugal,Costa Rica,0,0,draw,1760,1510,0.582,0.28,0.138,True,group,2017
Brazil,South Korea,1,1,draw,1820,1590,0.5687,0.28,0.1513,True,group,2016
Germany,France,0,1,away_win,1880,1840,0.4013,0.28,0.3187,False,quarter,2012
Netherlands,Italy,0,2,away_win,1750,1710,0.4013,0.28,0.3187,True,quarter,2015
Australia,Croatia,7,8,away_win,1580,1700,0.2404,0.28,0.4796,True,friendly,2011
Cameroon,Morocco,5,6,away_win,1560,1650,0.2688,0.28,0.4512,True,friendly,2016
Serbia,Ghana,1,2,away_win,1595,1550,0.4064,0.28,0.3136,True,round_of_16,2013
Senegal,Serbia,2,1,home_win,1610,1595,0.3755,0.28,0.3445,True,friendly,2010
Italy,Qatar,2,1,home_win,1710,1490,0.5617,0.28,0.1583,True,final,2021
Ghana,Wales,1,1,draw,1550,1610,0.2984,0.28,0.4216,True,friendly,2010
Morocco,Saudi Arabia,1,2,away_win,1750,1520,0.5687,0.28,0.1513,False,friendly,2022
Ghana,Costa Rica,2,1,home_win,1550,1510,0.4013,0.28,0.3187,True,round_of_16,2023
Qatar,Italy,2,1,home_win,1590,1710,0.2404,0.28,0.4796,False,quarter,2020
Mexico,Netherlands,1,4,away_win,1630,1750,0.2404,0.28,0.4796,True,semi,2017
Wales,Italy,2,2,draw,1610,1710,0.2592,0.28,0.4608,True,friendly,2020
Senegal,Canada,1,1,draw,1610,1560,0.4115,0.28,0.3085,True,group,2017
Costa Rica,Cameroon,0,2,away_win,1510,1560,0.3085,0.28,0.4115,True,quarter,2020
Ecuador,Switzerland,1,2,away_win,1570,1660,0.2688,0.28,0.4512,True,group,2018
Netherlands,France,1,1,draw,1750,1840,0.2688,0.28,0.4512,True,group,2018
Saudi Arabia,Australia,1,1,draw,1520,1580,0.2984,0.28,0.4216,True,friendly,2021
Qatar,England,0,0,draw,1490,1790,0.1087,0.28,0.6113,True,friendly,2016
USA,Denmark,0,4,away_win,1720,1670,0.4115,0.28,0.3085,False,group,2020
Cameroon,Germany,2,3,away_win,1560,1780,0.1583,0.28,0.5617,True,friendly,2010
Australia,Argentina,1,2,away_win,1680,1850,0.1967,0.28,0.5233,False,friendly,2010
Denmark,Morocco,0,0,draw,1770,1650,0.4796,0.28,0.2404,False,friendly,2019
Cameroon,Mexico,4,3,home_win,1560,1630,0.2884,0.28,0.4316,True,friendly,2017
Uruguay,Netherlands,4,3,home_win,1780,1750,0.391,0.28,0.329,False,friendly,2013
Argentina,Uruguay,1,1,draw,1850,1680,0.5233,0.28,0.1967,True,group,2011
Uruguay,France,1,0,home_win,1680,1840,0.205,0.28,0.515,True,group,2017
South Korea,Ecuador,0,3,away_win,1690,1570,0.4796,0.28,0.2404,False,group,2013
Italy,Morocco,0,1,away_win,1710,1650,0.4216,0.28,0.2984,True,quarter,2013
England,Italy,3,2,home_win,1790,1710,0.4415,0.28,0.2785,True,friendly,2017
Mexico,South Korea,1,1,draw,1730,1590,0.4977,0.28,0.2223,False,friendly,2020
Saudi Arabia,USA,1,0,home_win,1520,1620,0.2592,0.28,0.4608,True,friendly,2018
Australia,Poland,0,0,draw,1580,1600,0.3393,0.28,0.3807,True,quarter,2015
Saudi Arabia,Poland,1,1,draw,1620,1600,0.3807,0.28,0.3393,False,friendly,2013
Netherlands,France,1,1,draw,1750,1840,0.2688,0.28,0.4512,True,semi,2023
Portugal,Switzerland,4,2,home_win,1860,1660,0.547,0.28,0.173,False,group,2017
France,Senegal,3,3,draw,1840,1610,0.5687,0.28,0.1513,True,friendly,2023
Serbia,Tunisia,2,2,draw,1595,1540,0.4165,0.28,0.3035,True,friendly,2013
South Korea,Serbia,3,4,away_win,1590,1595,0.3548,0.28,0.3652,True,quarter,2015
Argentina,Senegal,1,1,draw,1950,1610,0.6309,0.28,0.0891,False,friendly,2014
Croatia,Ecuador,2,1,home_win,1700,1570,0.4887,0.28,0.2313,True,quarter,2014
Ecuador,Tunisia,2,1,home_win,1570,1540,0.391,0.28,0.329,True,group,2017
Wales,Netherlands,3,4,away_win,1610,1750,0.2223,0.28,0.4977,True,group,2025
Belgium,Qatar,1,0,home_win,1720,1490,0.5687,0.28,0.1513,True,group,2014
Iran,South Korea,1,1,draw,1530,1590,0.2984,0.28,0.4216,True,quarter,2021
Ghana,Poland,3,3,draw,1550,1600,0.3085,0.28,0.4115,True,round_of_16,2025
Wales,Uruguay,2,1,home_win,1710,1680,0.391,0.28,0.329,False,round_of_16,2018
